12345678910;176996394;Fulano de Tal;01/02/1958;Porto Alegre
63158347369;225568287;Cicrana Beltrana Delgrana;25/12/1970;São Leopoldo
27308454703;361522472;Laura Débora Pinto;22/08/1977;Vila Velha
58760427655;486541022;Murilo Renato Sales;24/11/1981;Salvador
23914481048;152508636;Elisa Carla da Rocha;10/12/1940;Aracaju
17864921213;393548284;Daniel Breno Thales Pinto;17/10/1999;Parnaíba
03314862377;107850357;Murilo Renato Sérgio das Neves;06/01/1972;Brasília
03314862377;373848596;Elaine Jéssica Rosângela Drumond;06/09/1995;Boa Vista
61330487788;328264738;Daniel Theo Aragão;06/04/1953;Aparecida de Goiânia
71878905597;111741129;Laura Giovana Pires;16/09/1987;Montauri
